,Gender,Own_car,Own_property,Work_phone,Phone,Email,Unemployed,Num_children,Num_family,Account_length,Total_income,Age,Years_employed,Education_type,Target,Income_type_Commercial associate,Income_type_Pensioner,Income_type_State servant,Income_type_Working,Family_status_Civil marriage,Family_status_Married,Family_status_Separated,Family_status_Single / not married,Family_status_Widow,Housing_type_House / apartment,Housing_type_Municipal apartment,Housing_type_With parents,Occupation_type_Accountants,Occupation_type_Core staff,Occupation_type_Drivers,Occupation_type_High skill tech staff,Occupation_type_Laborers,Occupation_type_Managers
2845,1,0,1,1,0,0,0,-0.5998634230400659,-0.18978993929664428,0.22405818391634075,-0.9189702818824678,-0.6019331451000991,-0.19340892624005648,0.6461430201911788,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6512,0,0,0,0,0,0,0,-0.5998634230400659,-0.18978993929664428,-0.016222470818706692,0.21427758308325995,0.27041611322284853,0.9739515560888409,-1.6348178026313236,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3158,1,1,1,0,1,0,0,-0.5998634230400659,-0.18978993929664428,0.04384769286505517,0.21427758308325995,0.437632088765314,-0.023744477440035605,0.6461430201911788,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6750,1,1,0,0,0,0,0,-0.5998634230400659,-0.18978993929664428,0.7046194933864356,0.35026732687914724,1.6672582976487134,-0.19470407470417886,0.6461430201911788,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
6966,1,1,1,1,1,0,0,2.3914431893358974,2.1486244269865025,0.2841283476001026,-0.23902156290303114,-0.19001660816520885,0.5007906505294948,0.6461430201911788,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
3311,1,1,0,0,0,0,0,-0.5998634230400659,-0.18978993929664428,-0.7971345987076108,-0.9189702818824678,1.5954260828030062,-0.7952212459022172,0.6461430201911788,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1780,0,1,0,0,0,0,0,2.3914431893358974,2.1486244269865025,-1.2176257444939438,3.614021177980443,-0.6495072677192236,-0.13642239381867538,-1.6348178026313236,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2439,0,1,0,0,0,0,0,-0.5998634230400659,-0.18978993929664428,0.2841283476001026,-0.012371989909885592,1.3474283049914337,0.7386662517732899,0.6461430201911788,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
5920,1,1,1,0,0,0,0,-0.5998634230400659,-0.18978993929664428,1.1851808028565305,1.8008245940352787,-1.4952432792304833,-0.228809650926066,-1.6348178026313236,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
570,0,1,1,0,1,1,0,2.3914431893358974,2.1486244269865025,-0.316573289237516,-0.012371989909885592,-1.0063131873626538,0.34407768637069674,-1.6348178026313236,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
485,0,0,1,0,0,0,0,-0.5998634230400659,-0.18978993929664428,-0.2565031255537541,-0.6923207088893222,1.2869008321542315,-0.7097414472701457,0.6461430201911788,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6380,0,0,0,1,0,0,0,-0.5998634230400659,-0.18978993929664428,0.7046194933864356,-0.23902156290303114,-0.02209408624721126,-0.16836938926702547,-1.6348178026313236,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
7431,0,0,0,0,1,0,0,0.8957898831479156,0.979417243844929,1.4254614575915778,-0.9189702818824678,0.029719314625101734,-0.04748886594894438,0.6461430201911788,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5909,0,1,1,0,0,0,0,-0.5998634230400659,-0.18978993929664428,-0.737064435023849,-0.9189702818824678,-0.44178263331294937,0.0863431420103597,0.6461430201911788,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7898,1,1,0,0,1,0,0,-0.5998634230400659,-1.3589971224382176,-0.016222470818706692,1.8008245940352787,0.06551766431870037,-0.6946313818553855,0.6461430201911788,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
8940,1,1,1,1,1,0,0,0.8957898831479156,0.979417243844929,1.9060227670616727,-0.6923207088893222,0.04997364405700641,-0.4938833699164295,0.6461430201911788,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
3434,0,1,0,0,0,1,0,0.8957898831479156,0.979417243844929,-1.2176257444939438,-0.6923207088893222,-1.2090919971402077,0.4947466243635907,0.6461430201911788,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1143,1,0,0,0,1,1,0,-0.5998634230400659,-1.3589971224382176,-1.2776959081777057,1.8008245940352787,-0.8518150465797562,0.30392808398290555,-0.8744975283571561,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
1204,0,0,1,0,0,0,1,-0.5998634230400659,-1.3589971224382176,-0.6769942713400872,-1.1909497694742424,1.7454494298742036,-0.8932208130208044,0.6461430201911788,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2756,0,0,0,1,1,0,0,-0.5998634230400659,-0.18978993929664428,1.4855316212753398,2.2541237400215697,-1.2401800376635954,-0.06389407982782683,-1.6348178026313236,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
4720,0,0,1,0,0,0,0,-0.5998634230400659,-0.18978993929664428,-0.9773450897588964,0.21427758308325995,-0.21521676222583352,-0.5439624438624916,0.6461430201911788,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
8985,0,0,1,0,0,0,0,-0.5998634230400659,-1.3589971224382176,0.3441985112838645,-0.012371989909885592,-0.8435720055318879,0.5184910128724995,-1.6348178026313236,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
4820,0,0,0,0,0,0,0,-0.5998634230400659,-1.3589971224382176,1.2452509665402922,-0.9189702818824678,-1.3883192610667092,0.42437689114627936,0.6461430201911788,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
4914,1,1,1,1,1,0,0,-0.5998634230400659,-0.18978993929664428,0.2841283476001026,0.8942263020626966,-0.5517683524373597,-0.349690174244147,0.6461430201911788,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1205,1,1,0,1,0,0,0,2.3914431893358974,2.1486244269865025,-1.578046726596515,-0.9189702818824678,-0.5614244862362909,-0.26248351099324574,-0.11417725408298866,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
5561,1,1,0,1,1,0,0,-0.5998634230400659,-1.3589971224382176,1.1851808028565305,-0.46567113589617665,0.4757855930440177,-0.37818344045483754,0.6461430201911788,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
1269,0,0,1,0,0,0,1,-0.5998634230400659,-1.3589971224382176,0.5844791660189119,-1.1002899402769841,1.0867126924202941,-0.8932208130208044,0.6461430201911788,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2521,0,0,0,0,0,0,0,0.8957898831479156,0.979417243844929,1.4254614575915778,-0.6923207088893222,-0.1954334637109505,-0.015110154345886896,0.6461430201911788,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
3901,1,1,0,1,0,0,0,-0.5998634230400659,-0.18978993929664428,-0.2565031255537541,-0.23902156290303114,-0.25101511191943215,0.5064029605406914,0.6461430201911788,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5878,0,0,1,0,1,0,0,-0.5998634230400659,-0.18978993929664428,-0.5568539439725634,-0.23902156290303114,0.30833410204304107,1.1505234633641803,0.6461430201911788,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6963,0,0,1,1,0,0,0,-0.5998634230400659,-0.18978993929664428,-0.7971345987076108,-0.9189702818824678,-1.6382011625463655,-0.3790468727642524,0.6461430201911788,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
4137,0,0,1,0,1,0,0,0.8957898831479156,0.979417243844929,-0.6769942713400872,-0.6923207088893222,-0.5501197442277861,0.05957674041849888,-1.6348178026313236,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
9469,0,1,1,0,0,0,0,0.8957898831479156,0.979417243844929,0.7646896570701974,-0.46567113589617665,-1.1101755045657913,0.17786696680833533,-1.6348178026313236,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6290,1,1,0,1,1,1,0,-0.5998634230400659,-1.3589971224382176,-0.316573289237516,2.1181339962256827,1.3907631493573687,0.7516177364145129,-1.6348178026313236,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
4723,0,0,1,0,0,0,0,-0.5998634230400659,-0.18978993929664428,-0.737064435023849,0.21427758308325995,1.0134673848235232,0.7041289593966954,0.6461430201911788,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2125,0,1,1,0,1,0,1,0.8957898831479156,0.979417243844929,1.4254614575915778,-0.23902156290303114,1.0996660426383724,-0.8932208130208044,0.6461430201911788,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
4601,1,0,1,0,0,0,0,-0.5998634230400659,-0.18978993929664428,1.6657421123266254,-0.23902156290303114,1.1397036705851595,0.1528274298353043,0.6461430201911788,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
3321,0,1,0,0,0,0,0,2.3914431893358974,2.1486244269865025,-0.016222470818706692,-0.5563309650934349,-1.4870002381826153,-0.23053651554489565,-1.6348178026313236,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
4852,0,1,1,0,0,0,0,0.8957898831479156,0.979417243844929,-0.9773450897588964,-0.46567113589617665,-1.2858700366146352,-0.8427100229200348,0.6461430201911788,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3073,1,1,0,0,0,0,0,-0.5998634230400659,-0.18978993929664428,-0.9773450897588964,0.21427758308325995,0.05468395322721652,0.21801656919612655,0.6461430201911788,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2119,1,0,1,0,0,0,0,0.8957898831479156,0.979417243844929,1.365391293907816,4.384629726157138,-0.6476231440511395,0.9368239667840015,-1.6348178026313236,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
5912,0,0,1,1,1,0,0,-0.5998634230400659,-1.3589971224382176,-0.4367136166050397,0.4409271560764055,0.8914703773150773,2.057559104404496,-1.6348178026313236,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
2266,0,0,1,1,1,0,0,-0.5998634230400659,-0.18978993929664428,1.785882439694149,-0.9189702818824678,0.9574147056980206,1.4039408461774432,-1.6348178026313236,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
771,0,0,1,1,1,0,0,-0.5998634230400659,-0.18978993929664428,-1.3978362355452294,0.21427758308325995,0.7501611022087673,-0.6078564347591915,-1.6348178026313236,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7670,0,0,1,0,0,0,1,-0.5998634230400659,-1.3589971224382176,0.8848299844377212,-0.37501130669891847,1.2810129456914683,-0.8932208130208044,0.6461430201911788,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2808,0,1,1,0,0,0,0,-0.5998634230400659,-0.18978993929664428,0.4042686749676263,0.4409271560764055,0.4988661079780478,0.0021584918424103817,0.6461430201911788,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
6377,1,1,0,0,0,0,0,0.8957898831479156,0.979417243844929,-0.316573289237516,-0.6923207088893222,-0.6214809281564723,-0.30090624876220706,-1.6348178026313236,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2698,0,0,1,0,0,0,1,0.8957898831479156,0.979417243844929,1.9660929307454347,-0.46567113589617665,0.7779519263130081,-0.8932208130208044,0.6461430201911788,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
5384,0,0,1,0,0,0,0,0.8957898831479156,-0.18978993929664428,0.8247598207539593,0.4409271560764055,-1.1911928222934083,-0.6929045172365558,-1.6348178026313236,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
5139,0,1,0,0,0,0,0,-0.5998634230400659,-1.3589971224382176,-0.4367136166050397,-0.6923207088893222,0.8662702232544514,0.16275690139357527,0.6461430201911788,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4929,0,1,1,0,0,0,0,-0.5998634230400659,-0.18978993929664428,-1.2176257444939438,0.8942263020626966,0.8219933170544739,-0.3760248596813004,0.6461430201911788,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
7128,0,0,1,0,0,0,0,-0.5998634230400659,-0.18978993929664428,-1.3377660718614675,1.8008245940352787,-0.5232709819575873,1.8576745247749546,-1.6348178026313236,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3706,0,0,0,1,0,0,0,2.3914431893358974,2.1486244269865025,-0.5568539439725634,-1.3722694278687588,-0.6994365449234525,-0.5133105968782639,0.6461430201911788,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
9706,1,1,1,0,0,0,0,-0.5998634230400659,-0.18978993929664428,-0.3766434529212778,-0.9189702818824678,0.7322619273619684,-0.1502373107693132,0.6461430201911788,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
8624,0,1,1,0,0,0,0,0.8957898831479156,0.979417243844929,-0.7971345987076108,0.4409271560764055,-1.11888957653068,-0.32033347572404164,-1.6348178026313236,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
4223,0,0,1,0,0,0,0,0.8957898831479156,0.979417243844929,-0.6769942713400872,0.4409271560764055,-0.6278398455362559,0.7041289593966954,0.6461430201911788,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
3956,0,1,1,0,0,1,0,2.3914431893358974,2.1486244269865025,-1.2176257444939438,-0.012371989909885592,-0.7013206685915366,-0.29486222259630307,0.6461430201911788,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
8208,0,0,1,1,1,0,0,-0.5998634230400659,-1.3589971224382176,-1.0974854171264201,-0.46567113589617665,-1.395620240280535,0.413152271123886,0.6461430201911788,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
3174,1,0,1,0,0,0,0,-0.5998634230400659,-0.18978993929664428,1.8459526033779108,1.120875875055842,0.06787281890380481,-0.5102885837953118,-1.6348178026313236,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
551,1,1,1,1,1,0,0,-0.5998634230400659,-0.18978993929664428,0.4042686749676263,-0.46567113589617665,-0.25313475104602673,2.628287860927721,0.6461430201911788,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1018,0,0,0,0,0,0,0,-0.5998634230400659,-1.3589971224382176,-0.6169241076563252,0.8942263020626966,1.6102635566891688,0.21110911072080765,0.6461430201911788,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
5214,0,0,0,1,1,1,0,-0.5998634230400659,-1.3589971224382176,0.8848299844377212,-0.7376506234879513,0.9444613554799421,-0.8124898920905145,0.6461430201911788,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
7114,0,1,0,0,0,0,0,0.8957898831479156,0.979417243844929,0.7646896570701974,0.8942263020626966,-0.8506374692872036,0.01770027341187786,0.6461430201911788,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2750,0,0,0,0,1,0,0,-0.5998634230400659,-0.18978993929664428,1.6657421123266254,0.21427758308325995,0.7160113607247428,-0.7080145826513159,0.6461430201911788,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
4418,0,1,1,0,0,0,0,-0.5998634230400659,-0.18978993929664428,-0.316573289237516,0.21427758308325995,-1.5023087429857986,-0.4248087851632403,0.6461430201911788,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
8152,0,0,0,1,0,0,0,0.8957898831479156,-0.18978993929664428,-1.2176257444939438,-0.46567113589617665,-1.2368828212444483,-0.5232400684365348,0.6461430201911788,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
7299,0,1,1,1,1,0,0,2.3914431893358974,2.1486244269865025,0.4042686749676263,-0.6016608796920639,-1.098635247098776,-0.8496174813953536,-0.8744975283571561,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
8050,1,1,0,0,1,0,0,2.3914431893358974,2.1486244269865025,1.1851808028565305,0.667576729069551,-0.543525311389492,0.7382345356185825,0.6461430201911788,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5790,1,0,0,1,1,1,0,-0.5998634230400659,-1.3589971224382176,-1.4579063992289913,1.8008245940352787,-1.5256247733783397,-0.694199665700678,-1.6348178026313236,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
3147,0,1,0,0,0,0,0,-0.5998634230400659,-0.18978993929664428,1.8459526033779108,-0.46567113589617665,-1.3063598815050501,-0.7857234904986538,0.6461430201911788,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
8501,0,0,1,0,0,0,0,-0.5998634230400659,-0.18978993929664428,-0.9773450897588964,0.21427758308325995,0.186572609993105,-0.24435143249553348,0.6461430201911788,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6568,1,1,0,0,0,0,0,-0.5998634230400659,-0.18978993929664428,-0.5568539439725634,0.12361775388600173,0.2525169383760489,-0.06389407982782683,0.6461430201911788,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
7315,1,1,0,0,0,1,0,-0.5998634230400659,-0.18978993929664428,1.3053211302240542,-0.46567113589617665,0.37121672946534845,-0.6126053124609733,0.6461430201911788,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
4778,0,0,1,0,0,0,1,-0.5998634230400659,-0.18978993929664428,0.8848299844377212,0.4409271560764055,1.1769151130298205,-0.8932208130208044,0.6461430201911788,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2676,0,0,0,0,0,0,0,-0.5998634230400659,-0.18978993929664428,-0.3766434529212778,1.3475254480489876,-0.30918743017152944,-0.33976070268587605,-1.6348178026313236,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
6393,1,1,0,1,0,0,0,-0.5998634230400659,-0.18978993929664428,-1.2176257444939438,-0.46567113589617665,-1.7175698720644095,-0.6026758409027024,-0.8744975283571561,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
9500,0,1,1,0,0,0,0,-0.5998634230400659,-0.18978993929664428,-0.4367136166050397,-0.9189702818824678,0.7322619273619684,-0.1502373107693132,0.6461430201911788,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
8334,1,1,1,1,0,0,0,2.3914431893358974,2.1486244269865025,-0.016222470818706692,-0.6923207088893222,-1.4031567349528717,-0.0988630883591288,0.6461430201911788,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
737,1,0,1,0,0,0,0,0.8957898831479156,0.979417243844929,1.3053211302240542,1.3475254480489876,-1.0814426186275083,-0.2400342709484592,-1.6348178026313236,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
4681,1,0,0,1,1,0,0,-0.5998634230400659,-1.3589971224382176,0.8848299844377212,-0.6016608796920639,-1.1575141117264045,0.5081298251595211,-0.8744975283571561,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
424,0,0,1,0,0,1,0,-0.5998634230400659,-1.3589971224382176,0.52440900233515,-0.9189702818824678,-0.15610238213969366,-0.30133796491691456,-1.6348178026313236,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
7030,1,1,1,1,1,0,0,0.8957898831479156,0.979417243844929,-1.0374152534426582,-0.46567113589617665,0.29302559723985827,-0.7075828664966085,0.6461430201911788,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
8511,0,0,1,0,1,0,0,0.8957898831479156,0.979417243844929,-0.6769942713400872,-0.6923207088893222,-0.24913098825134813,-0.3104040041657707,0.6461430201911788,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4100,0,0,1,0,0,0,0,-0.5998634230400659,-1.3589971224382176,-1.3978362355452294,-0.012371989909885592,0.16137245593247967,3.2003117659150697,0.6461430201911788,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
2321,0,0,1,0,0,0,1,-0.5998634230400659,-0.18978993929664428,0.944900148121483,-0.6923207088893222,1.1757375357372681,-0.8932208130208044,0.6461430201911788,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
4,1,1,1,1,1,1,0,-0.5998634230400659,-0.18978993929664428,-1.3377660718614675,0.8942263020626966,0.20729797034203004,-0.5612310900507889,-1.6348178026313236,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
5407,0,0,1,0,0,0,0,-0.5998634230400659,-0.18978993929664428,-0.6769942713400872,-0.6923207088893222,-1.254781996091247,-0.48136360142991386,-1.6348178026313236,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
4798,0,0,1,0,0,0,0,-0.5998634230400659,-1.3589971224382176,-1.517976562912753,-0.46567113589617665,-1.7484223971292872,-0.5439624438624916,0.6461430201911788,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2096,0,0,0,0,1,0,0,-0.5998634230400659,-0.18978993929664428,-1.6381168902802767,-0.23902156290303114,0.4178487902504309,0.3842272887584881,-1.6348178026313236,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
26,0,1,1,1,1,0,0,-0.5998634230400659,-1.3589971224382176,0.16398802023257888,0.8942263020626966,0.13899848737398168,-0.37775172430013015,0.6461430201911788,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
4646,0,0,1,0,0,0,0,0.8957898831479156,0.979417243844929,0.5844791660189119,-0.23902156290303114,-0.5461159814331081,0.25816617158391775,-1.6348178026313236,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
2502,1,0,1,0,0,0,0,-0.5998634230400659,-0.18978993929664428,-0.6769942713400872,0.4409271560764055,-0.7585509250095919,-0.765001115072697,0.6461430201911788,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
7345,0,0,0,0,0,0,0,2.3914431893358974,2.1486244269865025,1.1251106391727685,-0.23902156290303114,-0.3080098528789769,0.6752039770312974,-1.6348178026313236,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
113,0,0,0,0,0,0,0,-0.5998634230400659,-0.18978993929664428,1.6056719486428634,-0.46567113589617665,-0.9095163339148324,-0.5487113215642734,0.6461430201911788,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
8957,0,0,1,0,1,0,0,-0.5998634230400659,-0.18978993929664428,-0.49678378028880155,-0.23902156290303114,-0.6094696397724358,0.7939259195758415,0.6461430201911788,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6346,1,1,0,0,0,0,0,2.3914431893358974,2.1486244269865025,1.0650404754890068,-0.19369164830440203,-0.9269444778446104,-0.15455447231638764,0.6461430201911788,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
6360,0,0,1,0,0,0,0,-0.5998634230400659,-0.18978993929664428,-0.07629263450246855,-0.6923207088893222,-0.03810913742592623,2.616631524750621,0.6461430201911788,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
206,0,1,1,0,0,0,0,0.8957898831479156,-0.18978993929664428,-1.157555580810182,-0.6923207088893222,-0.7291114926957768,-0.5871340593332348,0.6461430201911788,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
672,0,0,1,0,0,1,0,0.8957898831479156,0.979417243844929,0.5844791660189119,-0.012371989909885592,-0.9636848893722505,-0.5776363039296714,-1.6348178026313236,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6563,0,1,1,0,1,0,1,-0.5998634230400659,-0.18978993929664428,1.6056719486428634,-1.009630111079726,1.6083794330210845,-0.8932208130208044,0.6461430201911788,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
